
 CHARACTERS IN INTEGER FIELD    =   7
 OUTPUT DISPLAY TYPE            =   E 
 CHARACTERS PER OUTPUT FIELD    =  15
 CHARACTERS AFTER DECIMAL POINT =   5
 LINES PER PAGE                 =****
 CHARACTERS PER LINE            = 140

 PRINT S    NODAL SOLUTION PER NODE

 *** WARNING ***                         CP =      15.203   TIME= 13:15:19
 Error estimation for elements with orthotropic material properties is   
 not valid when RSYS = 0.  Use RSYS=SOLU to reactivate error             
 estimation.                                                             

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 DISTRIBUTED ANSYS Academic Teaching Introductory              

 01055371  VERSION=WINDOWS x64   13:15:19  OCT 16, 2017 CP=     15.203

 Standard Bolted Hole--Static Structural (D3)                                  


 
  ***** POST1 NODAL STRESS LISTING *****                                       
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
    1221    0.71741E+001   0.19733E+002  -0.12930E+001   0.27585E+001  -0.22514E+000  -0.34593E+000
    1222    0.80687E+001   0.20543E+002  -0.14248E+001   0.35721E+001  -0.92554E-001   0.38024E-001
    1223    0.46420E+001   0.16445E+002  -0.13710E+001  -0.41885E+000  -0.16315E+000  -0.25261E+000
    1224    0.51063E+001   0.16167E+002  -0.14763E+001  -0.45404E+000  -0.91364E-001   0.15086E-001
    1225    0.76391E+001   0.20220E+002   0.46652E+001   0.32365E+001   0.39386E-001  -0.78440E-001
    1226    0.87881E+001   0.21593E+002   0.48742E+001   0.39242E+001   0.11799E+000  -0.17927E+000
    1227    0.35648E+001   0.17262E+002   0.48800E+001  -0.17171E+000   0.23625E-001  -0.80735E-001
    1228    0.53273E+001   0.17511E+002   0.50734E+001  -0.30174E+000   0.89999E-001  -0.21925E+000
    1229    0.91691E+001   0.21310E+002  -0.15246E+001   0.45461E+001   0.96833E-001  -0.95549E-002
    1230    0.10019E+002   0.23824E+002   0.52666E+001   0.47713E+001  -0.23072E+000   0.15858E+000
    1231    0.60481E+001   0.16178E+002  -0.15631E+001  -0.24500E+000   0.86416E-001  -0.37403E-003
    1232    0.66508E+001   0.18835E+002   0.54726E+001  -0.20788E+000  -0.22725E+000   0.22451E+000
    1233    0.91418E+001   0.22146E+002   0.50247E+000   0.47769E+001  -0.22934E-001  -0.24753E-002
    1234    0.60297E+001   0.17001E+002   0.48817E+000  -0.19372E+000  -0.38963E-001  -0.13953E-001
    1235    0.92923E+001   0.21921E+002  -0.15811E+000   0.47888E+001   0.32623E-001   0.16427E-001
    1236    0.64123E+001   0.16792E+002  -0.12840E+000  -0.14766E+000   0.37528E-001   0.25971E-001
    1237    0.90939E+001   0.21803E+002   0.70771E-001   0.45993E+001  -0.12009E-001  -0.98491E-002
    1238    0.63364E+001   0.16766E+002   0.56244E-001  -0.23934E+000  -0.26560E-001  -0.14163E-001
    1239    0.90895E+001   0.21762E+002  -0.12056E-001   0.45457E+001   0.28778E-001   0.10279E-001
    1240    0.64795E+001   0.16757E+002   0.64694E-002  -0.26924E+000   0.29277E-001   0.11795E-001
