
 CHARACTERS IN INTEGER FIELD    =   7
 OUTPUT DISPLAY TYPE            =   E 
 CHARACTERS PER OUTPUT FIELD    =  15
 CHARACTERS AFTER DECIMAL POINT =   5
 LINES PER PAGE                 =****
 CHARACTERS PER LINE            = 140

 PRINT S    NODAL SOLUTION PER NODE

 *** WARNING ***                         CP =      13.031   TIME= 23:08:17
 The selected element set contains mixed materials.                      
  This could invalidate error estimation.                                

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.2     18.2     ***
 DISTRIBUTED ANSYS Academic Teaching Introductory              

 01055371  VERSION=WINDOWS x64   23:08:17  JAN 29, 2018 CP=     13.062

 Standard Hole--Static Structural (E5)                                         


 
  ***** POST1 NODAL STRESS LISTING *****                                       
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
      49   -0.22841E+003  -0.14167E+003  -0.10518E+003   0.56360E+001  -0.81859E+001  -0.82699E+002
      50   -0.12986E+003  -0.79672E+002  -0.12691E+003   0.22275E+002   0.84210E+001  -0.85015E+002
      51   -0.63474E+002  -0.39867E+002  -0.12692E+003   0.27638E+002   0.24310E+002  -0.69973E+002
      52   -0.24775E+002  -0.17840E+002  -0.11151E+003   0.26056E+002   0.33410E+002  -0.51339E+002
      53   -0.40237E+001  -0.60015E+001  -0.89419E+002   0.22278E+002   0.35468E+002  -0.35765E+002
      54    0.66192E+001   0.64635E+000  -0.66693E+002   0.18598E+002   0.33313E+002  -0.24477E+002
      55    0.12162E+002   0.46103E+001  -0.46132E+002   0.15611E+002   0.29223E+002  -0.16643E+002
      56    0.16023E+002   0.79947E+001  -0.28640E+002   0.13428E+002   0.24195E+002  -0.11277E+002
      57    0.20913E+002   0.12447E+002  -0.14820E+002   0.12100E+002   0.18264E+002  -0.74021E+001
      58    0.29395E+002   0.19598E+002  -0.55973E+001   0.11688E+002   0.10488E+002  -0.39958E+001
      59    0.23475E+002   0.46288E+002  -0.60077E+001  -0.19853E+001  -0.16366E+001  -0.14595E+002
      60    0.16825E+002   0.40738E+002  -0.13906E+002  -0.19933E+001  -0.29635E+001  -0.25925E+002
      61    0.10910E+002   0.38840E+002  -0.25398E+002  -0.22210E+001  -0.39756E+001  -0.35262E+002
      62    0.40433E+001   0.38711E+002  -0.39196E+002  -0.25693E+001  -0.48011E+001  -0.44089E+002
      63   -0.54174E+001   0.38827E+002  -0.54074E+002  -0.29660E+001  -0.54072E+001  -0.52651E+002
      64   -0.19625E+002   0.37419E+002  -0.68697E+002  -0.32972E+001  -0.56710E+001  -0.59948E+002
      65   -0.40994E+002   0.32335E+002  -0.81549E+002  -0.33349E+001  -0.54552E+001  -0.63585E+002
      66   -0.71496E+002   0.21364E+002  -0.91239E+002  -0.28749E+001  -0.47250E+001  -0.59698E+002
      67   -0.11191E+003   0.26309E+001  -0.96794E+002  -0.17608E+001  -0.35400E+001  -0.43318E+002
      68   -0.16163E+003  -0.25125E+002  -0.97696E+002  -0.41800E-003  -0.20678E+001  -0.95385E+001
      69   -0.21908E+003  -0.62008E+002  -0.91903E+002   0.18971E+001  -0.39096E+000   0.43939E+002
      70   -0.28626E+003  -0.10947E+003  -0.77944E+002   0.34378E+001   0.16751E+001   0.11279E+003
      71   -0.36648E+003  -0.16849E+003  -0.55324E+002   0.35769E+001   0.41361E+001   0.18295E+003
      72   -0.45666E+003  -0.23524E+003  -0.25716E+002   0.13590E+001   0.60983E+001   0.23257E+003
      73   -0.54265E+003  -0.30011E+003   0.17933E+001  -0.23794E+001   0.63624E+001   0.24062E+003
      74   -0.59554E+003  -0.34477E+003   0.17415E+002  -0.60857E+001   0.43829E+001   0.19912E+003
      75   -0.58914E+003  -0.35276E+003   0.13056E+002  -0.80606E+001   0.74330E+000   0.12004E+003
      76   -0.51847E+003  -0.32041E+003  -0.14257E+002  -0.71415E+001  -0.26670E+001   0.29933E+002
      77   -0.40014E+003  -0.25616E+003  -0.55375E+002  -0.42877E+001  -0.40241E+001  -0.43267E+002
      78   -0.26896E+003  -0.18019E+003  -0.97507E+002  -0.95331E+000  -0.29241E+001  -0.83323E+002
      79   -0.15775E+003  -0.11259E+003  -0.12843E+003   0.15874E+001  -0.19053E+000  -0.91000E+002
      80   -0.80106E+002  -0.62633E+002  -0.13979E+003   0.26213E+001   0.26624E+001  -0.78306E+002
      81   -0.34391E+002  -0.31346E+002  -0.13314E+003   0.27646E+001   0.44782E+001  -0.58673E+002
      82   -0.10009E+002  -0.13568E+002  -0.11387E+003   0.26338E+001   0.51882E+001  -0.40682E+002
      83    0.30989E+001  -0.34868E+001  -0.88546E+002   0.23350E+001   0.51553E+001  -0.27142E+002
      84    0.10388E+002   0.25013E+001  -0.63054E+002   0.20407E+001   0.46886E+001  -0.17700E+002
      85    0.15764E+002   0.73346E+001  -0.40236E+002   0.18135E+001   0.39565E+001  -0.11238E+002
      86    0.22374E+002   0.13542E+002  -0.21776E+002   0.16745E+001   0.29893E+001  -0.66324E+001
      87    0.33284E+002   0.23856E+002  -0.93369E+001   0.16615E+001   0.16540E+001  -0.29525E+001
      88    0.17600E+002  -0.78600E+001  -0.42452E+001  -0.21256E+001  -0.41030E+001   0.84888E+001
      89    0.11400E+002  -0.17245E+002  -0.13659E+002  -0.28569E+001  -0.69759E+001   0.14427E+002
      90    0.90639E+001  -0.23723E+002  -0.27708E+002  -0.33567E+001  -0.89771E+001   0.17219E+002
      91    0.81675E+001  -0.30000E+002  -0.44966E+002  -0.38747E+001  -0.10697E+002   0.17934E+002
      92    0.72912E+001  -0.38622E+002  -0.66496E+002  -0.47384E+001  -0.12316E+002   0.16749E+002
      93    0.43281E+001  -0.52718E+002  -0.94542E+002  -0.62267E+001  -0.13537E+002   0.12269E+002
      94   -0.21443E+001  -0.76930E+002  -0.13001E+003  -0.92082E+001  -0.13409E+002   0.10962E+001
      95   -0.24314E+002  -0.12030E+003  -0.18321E+003  -0.13240E+002  -0.95952E+001  -0.24640E+002
      96   -0.55858E+002  -0.19111E+003  -0.23711E+003  -0.22428E+002   0.32387E+001  -0.88483E+002
      97   -0.21039E+003  -0.32690E+003  -0.22442E+003  -0.18912E+002   0.24751E+002  -0.17391E+003
      98   -0.52750E+003  -0.51531E+003  -0.15443E+003   0.95276E+001   0.33999E+002  -0.18972E+003
      99   -0.79162E+003  -0.66896E+003  -0.73230E+002   0.32559E+002   0.18515E+002  -0.92175E+002
     100   -0.87667E+003  -0.71881E+003  -0.28283E+002   0.36883E+002  -0.63058E+001   0.63188E+002
     101   -0.82962E+003  -0.65438E+003  -0.53307E+002   0.36529E+002  -0.31666E+002   0.21796E+003
     102   -0.58504E+003  -0.48083E+003  -0.12342E+003   0.15248E+002  -0.47726E+002   0.30870E+003
     103   -0.27142E+003  -0.26957E+003  -0.18929E+003  -0.12762E+002  -0.37162E+002   0.27324E+003
     104   -0.11743E+003  -0.11354E+003  -0.20110E+003  -0.14937E+002  -0.12609E+002   0.15781E+003
     105   -0.86017E+002  -0.28042E+002  -0.14661E+003  -0.34846E+001   0.34492E+001   0.62388E+002
     106   -0.58157E+002   0.25615E+002  -0.95643E+002   0.24227E+001   0.10179E+002   0.91094E+001
     107   -0.42874E+002   0.55493E+002  -0.65534E+002   0.69353E+001   0.12866E+002  -0.23851E+002
     108   -0.29563E+002   0.70913E+002  -0.44231E+002   0.93656E+001   0.13728E+002  -0.43353E+002
     109   -0.18860E+002   0.76830E+002  -0.29849E+002   0.10518E+002   0.13633E+002  -0.53020E+002
     110   -0.10322E+002   0.76646E+002  -0.19456E+002   0.10675E+002   0.12940E+002  -0.55601E+002
     111   -0.39223E+001   0.72951E+002  -0.11583E+002   0.10206E+002   0.11800E+002  -0.53273E+002
     112    0.74004E+000   0.67699E+002  -0.54682E+001   0.94012E+001   0.10306E+002  -0.47754E+002
     113    0.42223E+001   0.62410E+002  -0.94611E+000   0.84990E+001   0.85341E+001  -0.40249E+002
     114    0.70347E+001   0.58164E+002   0.16024E+001   0.76702E+001   0.65536E+001  -0.31506E+002
     115    0.94871E+001   0.55707E+002   0.13678E+001   0.70301E+001   0.45046E+001  -0.22264E+002
     116    0.10459E+002   0.55131E+002   0.43010E+000   0.68476E+001   0.24854E+001  -0.12655E+002
     117    0.30179E+002   0.22866E+002  -0.48325E+001   0.11070E+002   0.10293E+002  -0.43441E+001
     118    0.21263E+002   0.15586E+002  -0.14420E+002   0.11384E+002   0.18102E+002  -0.80552E+001
     119    0.16000E+002   0.11124E+002  -0.28680E+002   0.12613E+002   0.24000E+002  -0.12196E+002
     120    0.11766E+002   0.78543E+001  -0.46596E+002   0.14661E+002   0.28917E+002  -0.17840E+002
     121    0.57484E+001   0.40561E+001  -0.67434E+002   0.17453E+002   0.32747E+002  -0.26002E+002
     122   -0.58897E+001  -0.25290E+001  -0.90549E+002   0.20792E+002   0.34441E+002  -0.37656E+002
     123   -0.27408E+002  -0.14001E+002  -0.11294E+003   0.24219E+002   0.31587E+002  -0.53821E+002
     124   -0.68190E+002  -0.35800E+002  -0.12816E+003   0.24808E+002   0.22298E+002  -0.72894E+002
     125   -0.13792E+003  -0.74738E+002  -0.12718E+003   0.18016E+002   0.77868E+001  -0.86698E+002
     126   -0.23500E+003  -0.13163E+003  -0.10331E+003   0.11615E+001  -0.63929E+001  -0.81786E+002
     127   -0.34931E+003  -0.19948E+003  -0.62355E+002  -0.23113E+002  -0.12578E+002  -0.45272E+002
     128   -0.45488E+003  -0.25944E+003  -0.19220E+002  -0.45156E+002  -0.69304E+001   0.25331E+002
     129   -0.52348E+003  -0.29221E+003   0.86341E+001  -0.53123E+002   0.69661E+001   0.11435E+003
     130   -0.54257E+003  -0.29133E+003   0.10477E+002  -0.41733E+002   0.20915E+002   0.19258E+003
     131   -0.51268E+003  -0.26030E+003  -0.82107E+001  -0.16057E+002   0.27616E+002   0.23151E+003
     132   -0.45101E+003  -0.21302E+003  -0.35100E+002   0.10386E+002   0.24823E+002   0.21875E+003
     133   -0.37639E+003  -0.16275E+003  -0.59155E+002   0.24881E+002   0.15626E+002   0.16414E+003
     134   -0.29817E+003  -0.11470E+003  -0.74864E+002   0.23239E+002   0.45375E+001   0.91405E+002
     135   -0.22486E+003  -0.71764E+002  -0.84713E+002   0.10257E+002  -0.62634E+001   0.24473E+002
     136   -0.15835E+003  -0.34921E+002  -0.90423E+002  -0.53780E+001  -0.16555E+002  -0.22576E+002
     137   -0.10121E+003  -0.65897E+001  -0.91333E+002  -0.17044E+002  -0.25949E+002  -0.48005E+002
     138   -0.57699E+002   0.11277E+002  -0.86387E+002  -0.22851E+002  -0.33092E+002  -0.57138E+002
